,,,Overall,Overall,Overall,Conference,Conference,Conference,,,,,,,,,,
Rk,Season,Conf,W,L,W-L%,W,L,W-L%,SRS,SOS,PTS,PTS,AP Pre,AP High,AP Final,NCAA Tournament,Seed,Coach(es)
46,1974-75,Big Ten,19,8,.704,12,6,.667,11.62,6.85,76.6,72.3,17,11,19,Lost First Round,,Johnny Orr (19-8)
47,1973-74,Big Ten,22,5,.815,12,2,.857,14.75,6.90,80.6,72.8,,6,6,Lost Regional Final,,Johnny Orr (22-5)
48,1972-73,Big Ten,13,11,.542,6,8,.429,10.01,6.05,81.4,77.5,19,18,,,,Johnny Orr (13-11)
49,1971-72,Big Ten,14,10,.583,9,5,.643,3.97,3.75,81.6,81.4,13,9,,,,Johnny Orr (14-10)
50,1970-71,Big Ten,19,7,.731,12,2,.857,11.25,6.17,86.0,80.8,,12,,,,Johnny Orr (19-7)
51,1969-70,Big Ten,10,14,.417,5,9,.357,6.49,5.62,88.9,88.3,,,,,,Johnny Orr (10-14)
52,1968-69,Big Ten,13,11,.542,7,7,.500,6.60,7.93,89.7,91.1,,,,,,Johnny Orr (13-11)
53,1967-68,Big Ten,11,13,.458,6,8,.429,1.86,4.95,84.0,86.0,,,,,,Dave Strack (11-13)
54,1966-67,Big Ten,8,16,.333,2,12,.143,0.06,4.18,82.5,86.7,,,,,,Dave Strack (8-16)
55,1965-66,Big Ten,18,8,.692,11,3,.786,12.86,5.34,91.9,83.2,2,2,9,Lost Regional Final,,Dave Strack (18-8)
56,1964-65,Big Ten,24,4,.857,13,1,.929,18.89,8.27,90.4,78.4,1,1,1,Lost National Final,,Dave Strack (24-4)
57,1963-64,Big Ten,23,5,.821,11,3,.786,18.31,7.35,86.4,75.4,8,2,2,Lost National Semifinal,,Dave Strack (23-5)
58,1962-63,Big Ten,16,8,.667,8,6,.571,8.51,4.28,76.5,72.0,,,,,,Dave Strack (16-8)
59,1961-62,Big Ten,7,17,.292,5,9,.357,-0.50,5.81,70.7,75.9,,,,,,Dave Strack (7-17)
60,1960-61,Big Ten,6,18,.250,2,12,.143,-3.58,3.20,66.8,72.0,,,,,,Dave Strack (6-18)
61,1959-60,Big Ten,4,20,.167,1,13,.071,-7.71,5.05,64.6,77.4,,,,,,Bill Perigo (4-20)
62,1958-59,Big Ten,15,7,.682,8,6,.571,8.46,2.83,81.4,75.7,,,,,,Bill Perigo (15-7)
63,1957-58,Big Ten,11,11,.500,6,8,.429,1.72,1.48,76.5,74.5,,,,,,Bill Perigo (11-11)
64,1956-57,Big Ten,13,9,.591,8,6,.571,7.17,4.55,76.5,73.5,,,,,,Bill Perigo (13-9)
65,1955-56,Big Ten,9,13,.409,4,10,.286,2.43,5.61,73.2,76.4,,,,,,Bill Perigo (9-13)
66,1954-55,Big Ten,11,11,.500,5,9,.357,9.59,5.83,79.3,73.3,,,,,,Bill Perigo (11-11)
67,1953-54,Big Ten,9,13,.409,3,11,.214,3.56,6.56,72.6,75.6,,,,,,Bill Perigo (9-13)
68,1952-53,Big Ten,6,16,.273,3,15,.167,0.03,9.31,70.5,78.5,,,,,,Bill Perigo (6-16)
69,1951-52,Big Ten,7,15,.318,4,10,.286,-0.85,3.72,59.0,61.6,,,,,,Ernie McCoy (7-15)
70,1950-51,Big Ten,7,15,.318,3,11,.214,-0.16,4.03,52.7,56.9,,,,,,Ernie McCoy (7-15)
71,1949-50,Big Ten,11,11,.500,4,8,.333,6.64,6.23,57.5,57.1,,,,,,Ernie McCoy (11-11)
72,1948-49,Big Ten,15,6,.714,7,5,.583,,,52.9,46.0,,,,,,Ernie McCoy (15-6)
73,1947-48,Big Ten,16,6,.727,10,2,.833,,,49.8,42.5,,,,Lost Regional Semifinal,,Ozzie Cowles (16-6)
74,1946-47,Big Ten,12,8,.600,6,6,.500,,,,,,,,,,Ozzie Cowles (12-8)
75,1945-46,Big Ten,12,7,.632,6,6,.500,,,,,,,,,,Bennie Oosterbaan (12-7)
76,1944-45,Big Ten,12,7,.632,5,7,.417,,,,,,,,,,Bennie Oosterbaan (12-7)
77,1943-44,Big Ten,8,10,.444,5,7,.417,,,,,,,,,,Bennie Oosterbaan (8-10)
78,1942-43,Big Ten,10,8,.556,4,8,.333,,,,,,,,,,Bennie Oosterbaan (10-8)
79,1941-42,Big Ten,6,14,.300,5,10,.333,,,,,,,,,,Bennie Oosterbaan (6-14)
80,1940-41,Big Ten,9,10,.474,5,7,.417,,,,,,,,,,Bennie Oosterbaan (9-10)
81,1939-40,Big Ten,13,7,.650,6,6,.500,,,,,,,,,,Bennie Oosterbaan (13-7)
82,1938-39,Big Ten,11,9,.550,4,8,.333,,,,,,,,,,Bennie Oosterbaan (11-9)
83,1937-38,Big Ten,12,8,.600,6,6,.500,,,,,,,,,,Cappy Cappon (12-8)
84,1936-37,Big Ten,16,4,.800,9,3,.750,,,,,,,,,,Cappy Cappon (16-4)
85,1935-36,Big Ten,15,5,.750,7,5,.583,,,,,,,,,,Cappy Cappon (15-5)
86,1934-35,Big Ten,8,12,.400,2,10,.167,,,,,,,,,,Cappy Cappon (8-12)
87,1933-34,Big Ten,6,14,.300,4,8,.333,,,,,,,,,,Cappy Cappon (6-14)
88,1932-33,Big Ten,10,8,.556,8,4,.667,,,,,,,,,,Cappy Cappon (10-8)
89,1931-32,Big Ten,11,6,.647,8,4,.667,,,,,,,,,,Cappy Cappon (11-6)
90,1930-31,Big Ten,13,4,.765,8,4,.667,,,,,,,,,,George Veenker (13-4)
91,1929-30,Big Ten,9,5,.643,6,4,.600,,,,,,,,,,George Veenker (9-5)
92,1928-29,Big Ten,13,3,.813,10,2,.833,,,,,,,,,,George Veenker (13-3)
93,1927-28,Big Ten,10,7,.588,7,5,.583,,,,,,,,,,E.J. Mather (10-7)
94,1926-27,Big Ten,14,3,.824,10,2,.833,,,,,,,,,,E.J. Mather (14-3)
95,1925-26,Big Ten,12,5,.706,8,4,.667,,,,,,,,,,E.J. Mather (12-5)
96,1924-25,Big Ten,8,6,.571,6,5,.545,,,,,,,,,,E.J. Mather (8-6)
97,1923-24,Big Ten,10,7,.588,6,6,.500,,,,,,,,,,E.J. Mather (10-7)
98,1922-23,Big Ten,11,4,.733,8,4,.667,,,,,,,,,,E.J. Mather (11-4)
99,1921-22,Big Ten,15,4,.789,8,4,.667,,,,,,,,,,E.J. Mather (15-4)
100,1920-21,Big Ten,18,4,.818,8,4,.667,,,,,,,,,,E.J. Mather (18-4)
101,1919-20,Big Ten,10,13,.435,3,9,.250,,,,,,,,,,E.J. Mather (10-13)
102,1918-19,Big Ten,18,6,.750,5,5,.500,,,,,,,,,,Elmer Mitchell (18-6)
103,1917-18,Big Ten,6,12,.333,0,10,.000,,,,,,,,,,Elmer Mitchell (6-12)
